Unique_Investment_Identifier,Business_Case_ID,Agency_Code,Agency_Name,Investment_Title,Project_ID,Project_Name,Start_Date,Cost_Variance,PlannedCost,Updated_Date,Planned_Duration,Project_delay,Start_days_after_2000
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),234,IT Modernization Enterprise Architecture,2010-10-01,0.0,0.2,510,364.0,0.0,3926
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),236,Manage Trusted Internet Protocol Services (MTIPS),2010-03-15,-0.045173000000000005,0.9,850,928.0,2.0,3726
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),238,Email as a Service (EaaS),2011-05-01,0.0,4.35,470,516.0,367.0,4138
012-000003615,1047,12,Department of Labor,OWCP - OWCP Workers' Compensation System,117,Initial Planning for OWCS,2012-07-09,0.0,0.005,33,81.0,0.0,4573
014-000000012,718,14,Department of State,A-LM - Integrated Logistics Management System,1537,Fleet Management Information System,2009-10-01,-0.31682,2.25,911,1095.0,0.0,3561
014-000000012,718,14,Department of State,A-LM - Integrated Logistics Management System,1539,Expendables,2010-10-01,-0.067912,0.25,607,728.0,0.0,3926
014-000000014,730,14,Department of State,Travel Manager Program,1674,e-Gov Travel Service (ETS1) DME,2009-10-01,-0.581029,2.7235,1065,729.0,244.0,3561
014-000000014,730,14,Department of State,Travel Manager Program,1675,Contingency to support the e-Gov Travel Service II (ETS2) initiative,2011-01-01,0.110295,0.193375,608,272.0,0.0,4018
014-000000018,734,14,Department of State,Joint Financial Management System (JFMS),1530,DOS Segment 1 - Incremental Financial System Improvements,2010-10-01,-0.151611,5.607088,700,364.0,123.0,3926
014-000000018,734,14,Department of State,Joint Financial Management System (JFMS),1531,DOS Segment 2 - Incremental Financial System Improvements,2011-10-01,-0.075879,4.100924,335,365.0,0.0,4291
014-000000018,734,14,Department of State,Joint Financial Management System (JFMS),1532,DOS Segment 3 - Planning &amp; Budgeting Systems,2010-10-01,1.238132,3.9,700,730.0,92.0,3926
014-000000024,736,14,Department of State,Integrated Personnel Management System (IPMS),1568,IPMS Enterprise Services Infrastructure Enhancement,2009-10-01,-0.178001,3.859752,942,1094.0,1.0,3561
014-000000024,736,14,Department of State,Integrated Personnel Management System (IPMS),3167,IPMS Alternatives & HRLoB SSC Analysis,2011-01-01,-1e-06,1.147145,545,363.0,1.0,4018
014-000000024,736,14,Department of State,Integrated Personnel Management System (IPMS),3173,IPMS Operations & Maintenance - FY 2012,2011-10-01,0.0,22.830001,243,364.0,1.0,4291
014-000000329,743,14,Department of State,Foreign Assistance Coordination and Tracking System (FACTS),1562,FY11 FACTS Info Development,2010-10-01,-0.13900099999999999,1.7748869999999999,425,364.0,0.0,3926
014-000000329,743,14,Department of State,Foreign Assistance Coordination and Tracking System (FACTS),1563,FY11 PEPFAR Module Development,2010-10-01,0.053832000000000005,1.103251,425,364.0,0.0,3926
014-000000329,743,14,Department of State,Foreign Assistance Coordination and Tracking System (FACTS),1564,FY12 FACTS Info Development,2011-10-01,0.0,2.2094709999999997,150,365.0,0.0,4291
014-000000329,743,14,Department of State,Foreign Assistance Coordination and Tracking System (FACTS),1565,FY12 PEPFAR Module Development,2011-10-01,0.0,1.458727,83,334.0,31.0,4291
014-000000039,1130,14,Department of State,Application Services,2951,DoSSS (Sharepoint),2008-02-25,-0.035455,7.162064999999999,1649,1679.0,1826.0,2977
014-000000039,1130,14,Department of State,Application Services,2953,Data Management,2008-09-29,0.0,3.0929990000000003,1339,1462.0,1826.0,3194
014-000000039,1130,14,Department of State,Application Services,2954,eCountry Clearance,2007-02-27,0.0,0.7525,2012,2050.0,1818.0,2614
014-000000039,1130,14,Department of State,Application Services,2955,Enterprise Application Integration (EAI),2005-10-03,0.0,2.0936,2370,2554.0,1826.0,2102
014-000000039,1130,14,Department of State,Application Services,2956,Enterprise Data Warehouse (EDW),2008-09-29,-1.6848599999999998,2.0341400000000003,1432,1462.0,1826.0,3194
014-000000026,1131,14,Department of State,Data Center Services and Hosting,2957,ESOC,2003-10-01,0.0,35.602872999999995,3103,3287.0,1826.0,1369
014-000000026,1131,14,Department of State,Data Center Services and Hosting,2958,Compensation Support,2006-10-01,0.0,6.63,2007,2191.0,1826.0,2465
014-000000026,1131,14,Department of State,Data Center Services and Hosting,2959,BEC,2008-10-01,0.0,1.607,1337,1460.0,1826.0,3196
014-000000026,1131,14,Department of State,Data Center Services and Hosting,2960,Systems Integration Office (SIO),2007-10-01,0.0,1.02,1703,1826.0,1826.0,2830
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2965,Contingency INMARSAT Refresh,2011-10-01,0.0,5.461,335,365.0,7305.0,4291
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2966,Global IT Modernization PMA,2011-10-01,0.0,98.339,335,365.0,7305.0,4291
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2967,Digital Services,2011-10-01,0.0,1.522,335,365.0,7305.0,4291
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2968,IT Installations (LWS/ITL),2011-10-01,0.0,1.701,335,365.0,7305.0,4291
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2969,New Embassy Compound Moves,2011-10-01,0.0,1.491,335,365.0,7305.0,4291
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2971,Post Telephones,2011-10-01,0.0,8.104,335,365.0,7305.0,4291
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2972,Video Collaboration,2011-10-01,0.0,2.978,335,365.0,7305.0,4291
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2973,Voice Technology,2011-10-01,0.0,23.363,335,365.0,7305.0,4291
014-000000034,1134,14,Department of State,Legacy Consular Systems,2974,American Citizens Services,2011-10-01,-0.19459100000000001,6.2,335,365.0,0.0,4291
014-000000034,1134,14,Department of State,Legacy Consular Systems,2975,Travel Document Systems Support,2011-10-01,3.570842,13.0,335,365.0,0.0,4291
014-000000034,1134,14,Department of State,Legacy Consular Systems,2976,Administrative and Management Systems Support  (AMS),2011-10-01,0.090965,5.7,335,365.0,0.0,4291
014-000000034,1134,14,Department of State,Legacy Consular Systems,2977,"Business Intelligence, Analytics and Reporting",2011-10-01,6.392494,12.2,335,365.0,0.0,4291
014-000000034,1134,14,Department of State,Legacy Consular Systems,2978,Intranet/Internet Website Development &amp; Support,2011-10-01,-8.800745,8.6,335,365.0,0.0,4291
014-000000034,1134,14,Department of State,Legacy Consular Systems,2979,Visa Systems Support,2011-10-01,1.682639,12.8,335,365.0,0.0,4291
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2991,AIS Security Infrastructure Support Program,2011-10-01,0.0,31.83,271,365.0,0.0,4291
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2993,Communications Security Audit Program,2011-10-01,0.0,2.058,243,365.0,0.0,4291
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2994,Electronic Key Management System,2011-10-01,0.0,4.636,243,365.0,0.0,4291
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2995,In-Line Network Encryption,2011-10-01,0.0,2.802,243,365.0,0.0,4291
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2997,Mainframe System Security Program,2011-10-01,0.0,1.336,271,365.0,0.0,4291
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2998,Public Key Infrastructure and Biometrics Logical Access Development and Execution Program,2011-10-01,0.0,9.097,243,365.0,0.0,4291
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2999,Red Switch Program,2011-10-01,0.0,1.213,243,365.0,0.0,4291
014-000000048,1136,14,Department of State,Security/Cyber Security Services,3000,Role-Based Cyber Security Training,2011-10-01,0.0,5.001,243,365.0,0.0,4291
014-000000048,1136,14,Department of State,Security/Cyber Security Services,3001,Secure Voice,2011-10-01,0.0,8.606,243,365.0,0.0,4291
014-000000048,1136,14,Department of State,Security/Cyber Security Services,3002,Technical Security and Safeguards,2011-10-01,0.0,7.179,243,365.0,0.0,4291
014-000000043,1137,14,Department of State,Enterprise Network and Bandwidth Services,3038,Network Design Projects,2011-10-01,1.2856809999999999,10.170897,242,364.0,1.0,4291
014-000000043,1137,14,Department of State,Enterprise Network and Bandwidth Services,3042,Iraq O&amp;M,2011-10-01,0.0,9.053882000000002,212,364.0,1.0,4291
184-000000008,10,184,U.S. Agency for International Development,GLAAS - Global Assistance and Acquisition System,1580,GLAAS PRISM 7.1 Upgrade,2012-02-01,5.637043,6.836,203,334.0,273.0,4414
184-000000028,11,184,U.S. Agency for International Development,IT Transition,2557,Identify authoritative data sets,2011-02-01,0.0,0.025,304,210.0,0.0,4049
184-000000028,11,184,U.S. Agency for International Development,IT Transition,2558,Select data sets,2011-02-01,0.0,0.02,304,210.0,0.0,4049
184-000000028,11,184,U.S. Agency for International Development,IT Transition,2559,Develop migration criteria,2011-03-15,0.006,0.036,262,199.0,0.0,4091
184-000000028,11,184,U.S. Agency for International Development,IT Transition,2560,OPS Master v3,2010-07-15,0.087,1.0375,741,547.0,0.0,3848
184-000000028,11,184,U.S. Agency for International Development,IT Transition,2561,OPS Master v3.2,2011-10-01,0.0,0.0375,298,104.0,0.0,4291
184-000000005,12,184,U.S. Agency for International Development,Phoenix - Financial Management System,1677,Obligation Tagging (Phase 1),2011-08-29,0.0,0.33,303,235.0,0.0,4258
184-000000005,12,184,U.S. Agency for International Development,Phoenix - Financial Management System,1683,Preliminary Planning for Phoenix Upgrade,2011-12-01,0.0,0.048,239,212.0,62.0,4352
184-000000005,12,184,U.S. Agency for International Development,Phoenix - Financial Management System,3183,Obligation Tagging (PhoenixMAPPR) Phase 2,2012-06-11,0.0,0.035,46,36.0,0.0,4545
184-000000016,392,184,U.S. Agency for International Development,Steady State IT Infrastructure & Technology Modernization Program,1594,General Office Services,2010-10-01,0.0,1.3,515,364.0,0.0,3926
021-142305975,3,21,Department of Transportation,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B),866,Colorado Wide Area Multilateration (WAM Phase 2),2010-08-01,0.44228500000000004,7.9514190000000005,753,791.0,273.0,3865
021-142305975,3,21,Department of Transportation,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B),867,3 Nautical Mile Separation,2010-10-01,0.6910470000000001,3.4898730000000002,692,638.0,92.0,3926
021-142305975,3,21,Department of Transportation,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B),868,Automation Upgrades,2010-10-01,0.349091,72.44112700000001,663,761.0,92.0,3926
021-142305975,3,21,Department of Transportation,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B),869,Air Traffic Control (ATC) Surface Advisory Services,2010-10-01,8.151432000000002,27.942732,663,730.0,730.0,3926
021-142305975,3,21,Department of Transportation,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B),870,Ground Based Interval Management (GIM),2010-10-01,0.287068,17.707637,602,761.0,699.0,3926
021-142305975,3,21,Department of Transportation,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B),872,Terminal ATC Separation Services,2010-10-01,3.139238,21.649915,663,730.0,730.0,3926
021-142305975,3,21,Department of Transportation,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B),873,In Trail Procedures,2010-10-01,0.05735,10.200066,663,700.0,365.0,3926
021-142305975,3,21,Department of Transportation,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B),874,Flight Deck Based Interval Management - Separation (FIM-S),2010-10-01,0.203464,1.9097650000000002,692,668.0,427.0,3926
021-142305975,3,21,Department of Transportation,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B),875,Traffic Situational Awareness with Alerts (TSAA),2010-10-01,0.160162,4.205439,543,730.0,365.0,3926
021-142305975,3,21,Department of Transportation,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B),876,Avionics Upgrades,2010-10-01,0.846693,8.718683,634,577.0,276.0,3926
021-142305975,3,21,Department of Transportation,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B),877,Service Volumes ISAT,2010-10-01,5.5265889999999995,110.49495900000001,663,730.0,457.0,3926
021-142305975,3,21,Department of Transportation,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B),878,Subscription Fees,2010-10-01,9.553442,241.68050899999997,446,730.0,730.0,3926
021-432721618,338,21,Department of Transportation,FAAXX013: Aviation Surface Weather Observation Network (ASWON),416,Ceilometer Solution Development and Production,2005-01-15,1.05245,1.92395,2596,2449.0,366.0,1841
021-432721618,338,21,Department of Transportation,FAAXX013: Aviation Surface Weather Observation Network (ASWON),417,Ceilometer Solution Implementation,2009-02-01,0.0,0.42,1270,1337.0,0.0,3319
021-432721618,338,21,Department of Transportation,FAAXX013: Aviation Surface Weather Observation Network (ASWON),2926,Sustainability Analysis,2010-10-01,0.0,1.75,692,730.0,0.0,3926
021-318879955,356,21,Department of Transportation,FAAXX032: Terminal Automation Replacement System (STARS),678,STARS Software Release 25A,2011-02-15,0.0,5.921,555,405.0,29.0,4063
021-318879955,356,21,Department of Transportation,FAAXX032: Terminal Automation Replacement System (STARS),679,STARS Software Release 25B,2011-11-01,0.0,2.759,267,210.0,94.0,4322
021-318879955,356,21,Department of Transportation,FAAXX032: Terminal Automation Replacement System (STARS),681,STARS Tech Refresh - G4 Processor Upgrades,2011-04-26,0.0,3.423,427,189.0,86.0,4133
021-318879955,356,21,Department of Transportation,FAAXX032: Terminal Automation Replacement System (STARS),682,STARS Tech Refresh - Air Traffic Controller's Main Display Monitor (MDM) Replacements,2011-07-01,0.0,46.32,419,457.0,0.0,4199
021-002703942,357,21,Department of Transportation,FAAXX084: Instrument Flight Procedure Automation (IFPA),418,"IPDS Module 2, Release 1",2011-03-01,-0.101,1.027,267,213.0,0.0,4077
021-002703942,357,21,Department of Transportation,FAAXX084: Instrument Flight Procedure Automation (IFPA),419,"IPDS Module 2, Release 2",2011-06-01,0.092,3.353,300,182.0,5.0,4169
021-002703942,357,21,Department of Transportation,FAAXX084: Instrument Flight Procedure Automation (IFPA),420,COTS Workflow Software Phase 1 Tech Refresh,2011-06-01,0.108022,0.242,449,395.0,822.0,4169
021-211295869,358,21,Department of Transportation,FAAXX155: Next Generation Air/Ground Communications  (NEXCOM) Segment 1a,421,NEXCOM Segment 1a FY11 Q4 Activities,2011-07-01,0.5,8.0,361,91.0,0.0,4199
021-211295869,358,21,Department of Transportation,FAAXX155: Next Generation Air/Ground Communications  (NEXCOM) Segment 1a,422,NEXCOM Segment 1a FY12 Activities,2011-10-01,2.16297,28.088265999999997,269,365.0,0.0,4291
021-147277724,359,21,Department of Transportation,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh,433,A - Ground to Ground Switch Programming Language for Microcomputers to C Conversion (G/G PLM2C),2007-04-15,0.000839,0.096,1957,1995.0,0.0,2661
021-147277724,359,21,Department of Transportation,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh,434,B - VSCS Console Equipment Programming Language for Microcomputers to C Conversion (VCE PLM2C),2008-04-01,-0.018162,1.539,1605,1793.0,580.0,3013
021-147277724,359,21,Department of Transportation,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh,436,D - VTABS Test Controller Replacement (VTC-R),2010-05-26,0.1175,2.387,820,1029.0,0.0,3798
021-147277724,359,21,Department of Transportation,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh,438,F - Phase II Tech Refresh Program Management and F&E Maintenance Activities,2006-10-01,0.0,10.96,2069,2191.0,0.0,2465
021-147277724,359,21,Department of Transportation,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh,439,G - Planning For Future Segments,2011-10-01,-0.025,0.25,327,365.0,730.0,4291
021-147277724,359,21,Department of Transportation,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh,440,H - Enhanced Technician Diagnostic Software ,2010-03-15,-0.012,0.287,646,503.0,60.0,3726
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1194,Surveys and Approach Procedures (FY11) - APB MILESTONE,2010-10-01,0.0,10.233,608,364.0,0.0,3926
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1195,Release 2 (Communications Architecture Upgrade and GEO Integration),2009-03-01,-0.12,4.38,1187,943.0,0.0,3347
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1196,Release 3 Development and Deployment (Iono-Robustness) - APB MILESTONE,2011-04-01,0.67,20.08,510,548.0,0.0,4108
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1197,GEO 5/6/7 Development - APB MILESTONE,2010-04-01,0.0,2.52,791,913.0,365.0,3743
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1198,Surveys and Approach Procedures (FY12) - APB MILESTONE,2011-10-01,0.0,9.68,298,365.0,0.0,4291
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1199,Safety Computer Development,2010-11-01,0.0,1.01,632,699.0,457.0,3957
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1200,G-III Receiver Acceptance and Delivery - APB MILESTONE,2009-03-01,-2.84,7.81,1187,1309.0,273.0,3347
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1201,Release 4 WAAS Support - APB MILESTONE,2010-10-01,0.0,16.3,634,882.0,213.0,3926
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1202,Dual-Frequency Development,2010-10-01,0.0,0.81,692,730.0,365.0,3926
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1203,Communications,2011-07-01,0.0,1.07,419,580.0,28.0,4199
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1204,Technology Evolution,2011-07-01,0.0,1.33,116,457.0,0.0,4199
021-448268496,362,21,Department of Transportation,FAAXX216: Weather and Radar Processor (WARP),857,Sustainment Activities-Segment 1 and 2,2011-03-01,0.0015550000000000002,18.214,541,579.0,0.0,4077
021-448268496,362,21,Department of Transportation,FAAXX216: Weather and Radar Processor (WARP),858,Security Requirements,2011-12-15,0.0,0.115,134,290.0,0.0,4366
021-448268496,362,21,Department of Transportation,FAAXX216: Weather and Radar Processor (WARP),859,Telecommunication Requirements,2011-12-15,0.0,0.65,134,290.0,0.0,4366
021-006227212,363,21,Department of Transportation,FAAXX036: Terminal Primary Surveillance (TPS),684,Airport Surveillance Radar-11 Technology Refreshment,2008-10-01,0.0,3.875,1393,1460.0,1003.0,3196
021-006227212,363,21,Department of Transportation,FAAXX036: Terminal Primary Surveillance (TPS),685,Mobile Airport Surveillance Radar (MASR),2011-03-29,0.0,0.5,484,551.0,1095.0,4105
021-860081937,364,21,Department of Transportation,FAAXX248: Airport Surface Detection Equipment - Model X (ASDE-X),430,Memphis Airport (MEM) ASDE-X,2007-05-01,0.0,0.105,1604,1478.0,64.0,2677
021-860081937,364,21,Department of Transportation,FAAXX248: Airport Surface Detection Equipment - Model X (ASDE-X),431,ASDE-X Acquisition Closeout,2011-07-01,0.0,1.353684,301,457.0,0.0,4199
021-541543830,365,21,Department of Transportation,FAAXX294: ATC Beacon Interrogator Replacement (ATCBI-6),1085,Operational Readiness Demonstration (ORD) at 3 remaining ATCBI-6 sites and remaining development / modernization / enhancement (DME) activities,2011-07-01,0.0,0.45,208,91.0,92.0,4199
021-541543830,365,21,Department of Transportation,FAAXX294: ATC Beacon Interrogator Replacement (ATCBI-6),1086,Operational Readiness Demonstration (ORD) at one remaining ATCBI-6 site,2012-03-30,0.0,0.5,28,184.0,0.0,4472
021-514765477,368,21,Department of Transportation,FAAXX504: En Route Automation Modernization (ERAM),441,En Route Automation Modernization (ERAM),2002-12-10,-33.94696,198.60103999999998,3544,3582.0,730.0,1074
021-161006572,370,21,Department of Transportation,FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP),444,T19 Software Release,2010-07-01,-0.113099,5.860488,755,669.0,0.0,3834
021-161006572,370,21,Department of Transportation,FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP),445,T20 Software Release,2010-11-01,-0.472495,7.148947,661,699.0,15.0,3957
021-161006572,370,21,Department of Transportation,FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP),446,T21 Software Release,2011-08-01,0.0,4.40426,388,457.0,151.0,4230
021-161006572,370,21,Department of Transportation,FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP),447,T22 Software Release,2012-01-01,0.0,2.293971,235,273.0,335.0,4383
021-161006572,370,21,Department of Transportation,FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP),448,T23 Software Release,2012-06-01,0.0,2.12438,83,272.0,337.0,4535
021-613828465,371,21,Department of Transportation,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA),452,"Fall 2011 Release, Develop thru Development, Test and Evaluate (DT&E)",2010-04-30,0.0,0.74,509,456.0,0.0,3772
021-613828465,371,21,Department of Transportation,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA),453,"Fall 2011 Release, Test and Implement",2011-03-24,0.0,0.791,434,251.0,0.0,4100
021-613828465,371,21,Department of Transportation,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA),454,Fall 2011 Release -Logistics Pipeline including Training and Tech Manuals,2011-07-01,-0.002,0.873,419,292.0,75.0,4199
021-613828465,371,21,Department of Transportation,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA),455,"Spring 2012 Release, Develop thru Develop, Test and Evaluate (DT&E)",2011-02-21,0.02,0.347,549,392.0,0.0,4069
021-613828465,371,21,Department of Transportation,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA),456,"Spring 2012 Release, Test and Implement",2011-10-27,0.073,0.491,301,267.0,0.0,4317
021-613828465,371,21,Department of Transportation,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA),457,"Spring 2013 Release, Develop thru Develop, Test and Evaluate (DT&E)",2011-04-11,0.854,5.48,500,570.0,122.0,4118
021-826990043,373,21,Department of Transportation,FAAXX610: Aviation Safety Knowledge Management (ASKME/AVS),691,Assimilate Lessons Learned (ALL),2010-02-16,0.037,0.979,890,773.0,164.0,3699
021-996986499,374,21,Department of Transportation,FAAXX705: Traffic Flow Management (TFM),1119,TFM-M/ Work Package (WP) 1 program close-out and transition,2011-04-01,0.098,6.21,329,213.0,0.0,4108
021-996986499,374,21,Department of Transportation,FAAXX705: Traffic Flow Management (TFM),1120,TFMS Tech Refresh- Primary Risk Mitigation Effort,2011-07-08,-0.021,3.641,383,267.0,91.0,4206
021-996986499,374,21,Department of Transportation,FAAXX705: Traffic Flow Management (TFM),1121,TFMS Tech Refresh Phase 1,2011-09-15,0.016,4.568,314,473.0,0.0,4275
021-996986499,374,21,Department of Transportation,FAAXX705: Traffic Flow Management (TFM),1122,TFMS Tech Refresh Phase 2 (APB),2012-03-30,0.0,1.634,56,184.0,1095.0,4472
021-620588994,375,21,Department of Transportation,FAAXX703: System Wide Information Management (SWIM),841,Segment 2 Governance ,2011-07-01,0.0,1.155,361,454.0,1829.0,4199
021-620588994,375,21,Department of Transportation,FAAXX703: System Wide Information Management (SWIM),842,Segment 2 SWIM Requirements and Architecture ,2011-07-01,0.0,32.85,390,454.0,1829.0,4199
021-620588994,375,21,Department of Transportation,FAAXX703: System Wide Information Management (SWIM),843,Traffic Flow Management SIP ,2009-06-01,0.0,0.5,1150,1094.0,761.0,3439
021-620588994,375,21,Department of Transportation,FAAXX703: System Wide Information Management (SWIM),844,Pilot Reports Data Publication for the Weather Message Switching Center Replacement (WMSCR) SIP ,2008-10-01,0.0,0.4,1393,1368.0,0.0,3196
021-620588994,375,21,Department of Transportation,FAAXX703: System Wide Information Management (SWIM),845,SWIM Terminal Data Distribution for the Terminal Data Distribution System (TDDS) SIP ,2009-02-06,0.0,7.2,1265,1301.0,963.0,3324
021-620588994,375,21,Department of Transportation,FAAXX703: System Wide Information Management (SWIM),846,EnRoute Flight Data Publication,2008-10-01,0.0,0.669,1364,1277.0,1091.0,3196
021-189475443,376,21,Department of Transportation,FAAXX612: System Approach for Safety Oversight (SASO/AVS),423,AFS SAS Design,2010-10-01,0.01952,2.2,634,455.0,32.0,3926
021-189475443,376,21,Department of Transportation,FAAXX612: System Approach for Safety Oversight (SASO/AVS),425,Change Management & Implementation,2011-10-01,0.93,5.0,269,365.0,365.0,4291
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1205,Orlando RWSL,2007-12-07,-1.381,6.42,1692,1363.0,527.0,2897
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1208,Minneapolis RWSL,2008-02-28,-0.699802,4.718453,1609,1439.0,296.0,2980
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1210,Dulles RWSL,2007-12-10,0.004514,1.4621520000000001,1660,1498.0,274.0,2900
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1211,Ft. Lauderdale RWSL,2008-02-28,-1.270589,3.027898,1638,1460.0,262.0,2980
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1212,Seattle RWSL,2008-02-28,0.009308,1.6131739999999999,1638,1427.0,272.0,2980
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1215,LaGuardia RWSL,2008-07-24,2.993,4.508,1462,1744.0,349.0,3127
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1217,Denver RWSL,2008-02-28,0.0,0.815237,1335,1239.0,1896.0,2980
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1219,Philadelphia RWSL,2008-02-28,0.0,0.85988,1335,1243.0,1514.0,2980
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),695,Mobility - Life-Cycle Refresh for Personal Computers,2011-10-03,0.05,3.57573,267,361.0,0.0,4293
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),696,Mobility - Lifecycle Refresh for Other Hardware / Devices,2011-10-03,0.08,1.721284,301,361.0,0.0,4293
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),697,Enterprise Data Center - Storage Team Projects,2011-10-14,-0.534273,1.673141,290,488.0,0.0,4304
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),700,Enterprise Data Center - Registry Team Projects,2011-11-02,0.115,1.843647,271,497.0,0.0,4323
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),704,Telecommunications - Local Area Network Deployment 5,2011-10-03,0.204216,1.992704,301,361.0,0.0,4293
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),708,Training - Train the Trainer and Training Materials,2011-10-03,0.106386,0.20502399999999998,301,361.0,0.0,4293
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),709,Printers - Refresh Cycle 5,2011-10-03,0.069286,0.400654,301,361.0,0.0,4293
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),710,Commercial Off the Shelf Software - Microsoft Enterprise License Agreement True Up,2012-02-01,0.0,0.094825,180,98.0,36.0,4414
